,word,lema,animacy,gender,finale,n_syll,preposition,context
38,ушате,ушат,inan,masc,т,2,в,"это , в ушате - то вот кипятком"
39,позвоночнике,позвоночник,inan,masc,к,4,на,"снутри - то вот , грыжа на позвоночнике - то"
40,дворе,двор,inan,masc,р,1,на,"он на пенсии дак , он так вот , ныне - то вот пятнадцать дён работал тут на дворе опять стайки переделывал всё"
41,дворе,двор,inan,masc,р,1,на,"ак на дворе работал , а летом - то опять тоже , мечет всё"
42,прицепе,прицеп,inan,masc,п,2,на,это на прицепе двоима
43,городе,город,inan,masc,д,2,в,"Да , не сравнишь , ведь не в городе , там всё надо купить , а этто чего"
44,батоге,батог,inan,masc,г,2,на,"о , экую корзину наберешь черницы - то , пойдешь за плечо и все на"
45,приле,прил,inan,masc,л,1,на,"это , самолет - то на Тиневу приле = прилетел , дак его и увезли там"
46,Ламлеве,ламлев,inan,masc,в,2,на,"Каласнеме - то один кой - чего [ ] живет тоже боле , а на Ламлеве ак уж и никто не живет , на Еськине никто не живет"
47,Ламлеве,ламлев,inan,masc,в,2,на,"На Ламлеве - то раньше в Пасху , у них праздник , вот дак ведь мы всё было там бегали смотрели , ак ведь о - ой , ведь весело тогда , гармоники да , пляска - то , а теперь ведь - о"
48,колхозе,колхоз,inan,masc,з,2,в,"меня еще пастухом , я еще коров в колхозе пасла , да меня и колхоз - то"
49,тракторе,трактор,inan,masc,р,2,на,"на тракторе поехали отлично , ак бы не идти и почто ле"
50,доме,дом,inan,masc,м,1,в,"то они занесли его в тёплую температуру дак , такая жарища , в доме натоплено , и оставили"
51,тракторе,трактор,inan,masc,р,2,на,"всё пооставили , поехали на одном тракторе - не до питья"
52,дворе,двор,inan,masc,р,1,на,"вот лето пасу , а зимой дежурю там , на ско = на скотном дворе , да телят покормлю"
53,исходе,исход,inan,masc,д,2,на,"А ежели сюда , дак надо всё равно бы приехать , да понаведать , месяц - то пасти , скоро второй будет , на исходе , а чего , ведь никто и не вяжется"
54,поле,поле,inan,neut,л',1,в,". . . выскабливала , пошла в поле , там всё"
55,магазине,магазин,inan,masc,н,3,в,"Да , в магазине , не знаю , теперь есть ли , не = недавно брали"
56,магазине,магазин,inan,masc,н,3,в,"В магазине , да"
57,подвале,подвал,inan,masc,л,2,в,"Ак ведь в подвале - то у Тоньки , там у них полки сделаны , сегодня да , а тут , это , проведён свет да , а - а"
58,моторе,мотор,inan,masc,р,2,на,"Приезжает - когда на моторе сама , на лодке"
59,поле,поле,inan,neut,л',1,в,"Вон там гумно - то , он в поле , вот где , где телята - то ходят , там стояла машина"
60,коридоре,коридор,inan,masc,р,3,в,"Да - а , мололи и на жерновах , у меня и теперь вот жернова стоят на ули - в коридоре , только закуделивай"
61,поле,поле,inan,neut,л',1,на,"Лепёшки толкли , это вот и растут на поле - то эти - то вот ишь - ко - се красные - то мяконькие - то"
62,месте,место,inan,neut,т,1,на,"Как , у одного на одном месте дак , да - а . Кухня да , прихожая"
63,июле,июль,inan,masc,л',2,в,"У меня - то нет а тетам годы я давала кому охота - закарпатцы приезжают или али кто вот этто работать дак и творогу давала и всё двоима деткам в июле , а коровушка была дак"
64,дровнике,дровник,inan,masc,к,2,в,"Дровцы - то есть в дровнике , сухие , дождь не мочит"
65,дровнике,дровник,inan,masc,к,2,в,"Магазина - то там много в дровнике - то , топор там есть и . ."
66,магазине,магазин,inan,masc,н,3,в,поспрашивайте в магазине вот придут после бабки - то
67,ведре,ведро,inan,neut,р,1,в,"вот по = полотухи были все муку да а ныне что - ничего нет , белая мука , дак в ведре да"
68,магазине,магазин,inan,masc,н,3,в,[ ] есть в магазине
69,магазине,магазин,inan,masc,н,3,в,Продавали в магазине
70,январе,январь,inan,masc,р',2,в,"в январе то двенадцатого января дождуся , а сдавать - то к новому году ближе дак"
71,обеде,обед,inan,masc,д,2,на,на обеде подою и сразу
72,обеде,обед,inan,masc,д,2,на,"да опять утром подоишь да , вечером да , на обеде подоишь да"
73,моторе,мотор,inan,masc,р,2,на,Это на мо = на моторе - то дак
74,весле,весло,inan,neut,л,1,на,"а так - то на весле , так и долго"
75,кустике,кустик,inan,masc,к,2,на,"А вички есть на кустике , те мяконькие так , плетут"
76,дворе,двор,inan,masc,р,1,на,"корова ведь была , дак кормила , а всё на дворе дак"
77,дворе,двор,inan,masc,р,1,на,"шаталася тут всю жизнь , петалисе на дворе , тоже выровняли столько же"
78,дворе,двор,inan,masc,р,1,на,"да на дворе - то ведь не нонь , всё вручную"
79,дворе,двор,inan,masc,р,1,на,"В войну и до войны и после войны , [ ] до пенсии робила на дворе дак"
80,поле,поле,inan,neut,л',1,на,"Была , вот тут на поле стояла"
81,государстве,государство,inan,neut,в,3,на,"А чего , у нас не принимают молока здесь на государстве , дак куды"
82,чердаке,чердак,inan,masc,к,2,на,"вот , он и теперь на чердаке"
