,lema,animacy,gender,finale,n_syll,soft0
460,конец,1,1,ц,2,1
461,волокобино,1,0,н,4,1
462,рюпино,1,0,н,2,1
463,волокобино,1,0,н,4,1
464,дух,1,1,х,1,1
465,почёт,1,1,т,2,1
466,магазин,1,1,н,3,1
467,костюм,1,1,м,2,1
468,тулуп,1,1,п,2,1
469,тулуп,1,1,п,2,1
470,тулуп,1,1,п,2,1
471,колхоз,1,1,з,2,1
472,дом,1,1,м,1,1
473,дом,1,1,м,1,1
474,село,1,0,л,1,1
475,детство,1,0,в,1,1
476,перекрёсток,1,1,к,4,1
477,место,1,0,т,1,1
478,дом,1,1,м,1,1
479,дом,1,1,м,1,1
480,ведро,1,0,р,1,1
481,труд,1,1,д,1,1
482,волокобино,1,0,н,4,1
483,волокобино,1,0,н,4,1
484,стаканчик,1,1,к,3,1
485,коридор,1,1,р,3,1
