,lema,animacy,gender,finale,n_syll,accent,soft0
292,стекло,1,0,л,1,0,1
293,перёд,1,1,д,2,1,1
294,кладбище,1,0,щ',2,0,0
295,совхоз,1,1,з,2,0,1
296,двор,1,1,р,1,0,1
297,двор,1,1,р,1,0,1
298,двор,1,1,р,1,0,1
299,двор,1,1,р,1,0,1
300,двор,1,1,р,1,0,1
301,стол,1,1,л,1,0,1
302,мечек,1,1,к,1,0,1
303,огород,1,1,д,3,0,1
304,пригород,1,1,д,3,0,1
305,рынок,1,1,к,2,0,1
306,ведро,1,0,р,1,0,1
307,город,1,1,д,2,0,1
308,дом,1,1,м,1,1,1
309,октябрь,1,1,р',2,0,0
310,сентябрь,1,1,р',2,0,0
311,август,1,1,т,2,0,1
312,курс,1,1,с,1,0,1
313,класс,1,1,с,1,0,1
314,декабрь,1,1,р',2,0,0
315,класс,1,1,с,1,0,1
316,дом,1,1,м,1,1,1
317,этаж,1,1,ж,2,0,1
318,потолок,1,1,к,3,0,1
319,данциг,1,1,г,2,0,1
320,класс,1,1,с,1,0,1
321,госбанк,1,1,к,2,0,1
322,место,1,0,т,1,0,1
323,домик,1,1,к,2,0,1
324,сундук,1,1,к,2,0,1
325,дом,1,1,м,1,1,1
326,конь,1,1,н',1,0,0
327,пузырёк,1,1,к,3,0,1
328,март,1,1,т,1,0,1
329,завод,1,1,д,2,0,1
330,институт,1,1,т,3,0,1
331,север,1,1,р,2,0,1
332,дом,1,1,м,1,1,1
333,город,1,1,д,2,0,1
334,город,1,1,д,2,0,1
335,село,1,0,л,1,0,1
336,магазин,1,1,н,3,0,1
337,клуб,1,1,б,1,1,1
338,клуб,1,1,б,1,1,1
339,елец,1,1,ц,2,0,1
340,стол,1,1,л,1,0,1
341,поле,1,0,л',1,0,0
342,огород,1,1,д,3,0,1
343,палисадник,1,1,к,4,0,1
344,совет,1,1,т,2,0,1
345,совет,1,1,т,2,0,1
346,совет,1,1,т,2,0,1
347,липец,1,1,ц,2,0,1
348,колхоз,1,1,з,2,0,1
349,район,1,1,н,2,0,1
350,район,1,1,н,2,0,1
351,колхоз,1,1,з,2,0,1
352,дом,1,1,м,1,1,1
353,солнышко,1,0,к,2,0,1
354,колодезь,1,1,з',3,0,0
355,рубеж,1,1,ж,2,0,1
356,столик,1,1,к,2,0,1
357,мир,1,1,р,1,1,1
358,потолок,1,1,к,3,0,1
359,решето,1,0,т,2,0,1
360,сит,0,1,т,1,0,1
361,город,1,1,д,2,0,1
362,совхоз,1,1,з,2,0,1
363,навоз,1,1,з,2,0,1
364,навоз,1,1,з,2,0,1
365,базар,1,1,р,2,0,1
