,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
196,бычок,0.0,3.0,1.0,1,1,к,2,1
197,пол,0.0,2.0,1.0,1,1,л,1,1
198,сундук,0.0,2.0,1.0,1,1,к,2,1
199,шкаф,0.0,2.0,1.0,1,1,ф,1,1
200,бугор,0.0,2.0,1.0,1,1,р,2,1
201,канаршино,0.0,1.0,1.0,1,0,н,3,1
202,бой,0.0,1.0,1.0,1,1,й,1,1
203,большак,0.0,1.0,1.0,1,1,к,2,1
204,хлев,0.0,1.0,1.0,1,1,в,1,1
205,танк,0.0,1.0,1.0,1,1,к,1,1
206,бык,0.0,1.0,1.0,0,1,к,1,1
207,столб,0.0,1.0,1.0,1,1,б,1,1
208,станок,0.0,1.0,1.0,1,1,к,2,1
209,собняк,0.0,1.0,1.0,1,1,к,2,1
210,свинарник,0.0,1.0,1.0,1,1,к,3,1
211,верх,0.0,1.0,1.0,1,1,х,1,1
212,кабан,0.0,1.0,1.0,0,1,н,2,1
213,полушубок,0.0,1.0,1.0,1,1,к,4,1
214,полик,0.0,1.0,1.0,1,1,к,2,1
215,плуг,0.0,1.0,1.0,1,1,г,1,1
216,плен,0.0,1.0,1.0,1,1,н,1,1
217,плав,0.0,1.0,1.0,1,1,в,1,1
218,особняк,0.0,1.0,1.0,1,1,к,3,1
219,берег,0.0,1.0,1.0,1,1,г,2,1
220,малинник,0.0,1.0,1.0,1,1,к,3,1
221,куст,0.0,1.0,1.0,1,1,т,1,1
222,язык,0.0,1.0,1.0,1,1,к,2,1
