Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
25;техникуме;техникум;inan;masc;м;3;в;Это назначили в Конь - Колодезь , этим , ну , в этом , в техникуме , фельдшером
26;Коне;конь;inan;masc;н';1;в;И там в Коне женился , жена учительницей была
27;огороде;огород;inan;masc;д;3;на;А вон мы на огороде - граблями
28;магазине;магазин;inan;masc;н;3;в;Двенадцать . . . ох , чё - йто в магазине , бывало , покупаешь - надо дюжину взять
29;ведре;ведро;inan;neut;р;1;в;Да вон ведро , в ведре вон
30;заборе;забор;inan;masc;р;2;на;Он на котёнка глядит , он на заборе сидит
31;городе;город;inan;masc;д;2;в;А где ж кошки должны лежать ? А в городе они вообще везде лежат
32;городе;город;inan;masc;д;2;в;Не знаю , в городе кошек купают , они там в чистоте
33;доме;дом;inan;masc;м;1;в;Ой , да сколько передач , этих кошек имеют по тридцать собак имеют в доме , люди жалобы пишут
34;амбаре;амбар;inan;masc;р;2;в;У нас э . . . была . Потом у дяди Митькиных ребят ночевали , и так она там висела в этом . . . в амбаре , и сопрела
35;амбаре;амбар;inan;masc;р;2;в;В амбаре небось
36;сарафанчике;сарафанчик;inan;masc;к;4;в;ополоскнусь , в сарафан одену , и вот хожу в этом в сарафанчике , всё ж таки хоть этого , тело , а это тёмное
37;совхозе;совхоз;inan;masc;з;2;в;И вот работал на таких , тут он хоть в совхозе , кладовщиком был . . . потом . .
39;городе;город;inan;masc;д;2;в;Все в городе , никто не остался , одна я осталась
40;сне;сон;inan;masc;н;1;во;И вот анады , когда - ть ее я вижу во сне
41;сне;сон;inan;masc;н;1;во;Во сне - то вроде
42;городе;город;inan;masc;д;2;в;Где , эта дочь приедет тут , пригласят , кто - йто там им прополет и все сделает . Она не делала . Будет она тут - в городе . Из города поедет тут
45;числе;число;inan;neut;л;1;в;Годовой праздник , первый день седьмого , восьмого , девятого , а если попанет воскресенье , оно всегда в числе
46;месяце;месяц;inan;masc;ц;2;в;А в месяце , а эти числа - то , на месте , а переходят они
47;месте;место;inan;neut;т;1;на;А в месяце , а эти числа - то , на месте , а переходят они
48;медпункте;медпункт;inan;masc;т;2;в;А другая , когда еще я родила , она работала в медпункте , где вот сейчас сельсовет , там медпункт там сзади был
49;диване;диван;inan;masc;н;2;на;Эн да побранятся , тут сидят на диване , эт ( от ) ходит и эт ( а ) ходит
50;масле;масло;inan;neut;л;1;на;Сейчас - то видишь вон - я давеча - ка читала , не читала , а глядела , как хлеб нажарят дать , чесноком намажут , на масле его нажарят , да чесноком намажут , да ещё чем - то польют , ещё мэнээсом ай чем - то там ещё
51;масле;масло;inan;neut;л;1;на;Они вкусней не на масле , а вот - свежий жир , к . . . ну , поросёнок , зарежешь , и на свежем жиру они вкусней ещё
52;городе;город;inan;masc;д;2;в;Это в городе не пойдешь , а тут - то
53;доме;дом;inan;masc;м;1;в;И просу сеяли в каждом доме , и . . . и толкли в ступе , и пшено - то делать , сейчас пшено - то возят , а тоды - то пшено - то сами обталкивали
55;совхозе;совхоз;inan;masc;з;2;в;Ну всякие приправы - то бы . . . , ну а это вот мак , это я прям - в совхозе
