,word,lema,animacy,gender,finale,n_syll,preposition,context,accent
118,скирде,скирд,inan,masc,д,1,в,"И так - то где он , в скирде ли он был , или он шатался всю ночь , ну по - видимому , в скирде",-
119,колхозе,колхоз,inan,masc,з,2,в,"Вот посушили и на мельнице на току и мололи , своя в колхозе мельница была , а то в Пеневичи ездили . А пекли хлеб такой - то",-
120,колхозе,колхоз,inan,masc,з,2,в,"Ну , говорят , что воровал . Но я ж не в людях воровала , а в колхозе",-
121,колхозе,колхоз,inan,masc,з,2,в,"Ну , ну это дал , может , это как - то нет , а говорят то , кто воровал , но я говорю , воровать - это ж в колхозе все воруют . Ну это украла бы я у человека , обидела , вот это дело другое , < это есть > , говорю",-
122,чугуне,чугун,inan,masc,н,2,в,"Нет , ну сутки потомится , она делается красная , вот такая вот . В чугуне , в чугунах под сковородой . Как шоколадная делается эта мука",-
123,декабре,декабрь,inan,masc,р',2,в,"А сейчас , в декабре , береть Витя . . . Муж что ли всё звонит",-
124,доме,дом,inan,masc,м,1,в,"А копоть это , когда в доме закоптилось , дыму , от дыму всё закопченное . Говорили копоть",c
125,посёлке,посёлок,inan,masc,к,3,на,"Но у нас на Ивановске на посёлке , теперь уже , наверное , никто и не найдет . Есть такая трава , лечит , страшно она от этой , от желтухи",-
126,месте,место,inan,neut,т,1,в,"Она дуже растет в таком месте , дурман там ещё есть , вонючая такая , и трава , и голова дуже болит",-
127,курсе,курс,inan,masc,с,1,на,Это она ужо учится на втором курсе . После девяти,-
128,почете,почёт,inan,masc,т,2,в,"А - а , а потом как сейчас вот стали уже те - то и в почете , они сколько получают",-
129,посёлке,посёлок,inan,masc,к,3,на,"А вот как его дальше вот звали , знаю , что фамилия Комков , знаю , что он у нас на посёлке даже был",-
130,посёлке,посёлок,inan,masc,к,3,на,"Пеньевская мама была , и отец наш все нам рассказывал , как отец его записался на посёлке жить . С Пеневич же уезжали",-
131,плече,плечо,inan,neut,ч,1,на,"Картоху , картоху носила в сумочке , так - то мешочком на плече",-
